ID,RAC1P,RAC2P,RAC3P,PERNP,SCHG,SCHL
000387,9,68,22,18000,15,20
000388,1,1,1,22000,,20
000389,1,1,1,0,,17
000390,1,1,1,135000,,24
000391,1,1,1,3000,,21
000392,1,1,1,20000,15,19
000393,1,1,1,2000,,16
000394,1,1,1,80000,,19
000395,1,1,1,20000,,16
000396,1,1,1,66000,,16
000397,1,1,1,55000,,16
000398,1,1,1,20000,,19
000399,1,1,1,5000,,16
000400,1,1,1,500,,1
000401,1,1,1,,,1
000402,1,1,1,,,
000403,1,1,1,0,,1
000404,1,1,1,0,,1
000405,1,1,1,0,,16
000406,1,1,1,15000,,16
000407,6,57,9,33600,,21
000408,1,1,1,33000,,20
000409,1,1,1,35000,,17
000410,1,1,1,,11,11
000411,1,1,1,28500,,19
000412,9,68,17,0,,19
000413,9,68,17,,11,11
000414,9,68,17,,9,9
000415,9,68,17,,7,7
000416,9,68,17,,4,4
000417,9,68,17,,1,1
000418,9,68,17,,,
000419,1,1,1,15000,,21
000420,1,1,1,35000,,21
000421,1,1,1,0,,17
000422,9,68,16,0,,16
000423,1,1,1,35000,15,19
000424,1,1,1,27000,,15
000425,1,1,1,,5,6
000426,1,1,1,,4,5
000427,1,1,1,,,1
000428,3,5,3,0,,18
000429,1,1,1,0,,16
000430,1,1,1,0,,19
000431,1,1,1,0,,16
000432,1,1,1,0,,20
000433,1,1,1,0,16,21
000434,1,1,1,60000,,21
000435,1,1,1,40000,,21
000436,1,1,1,0,,21
000437,1,1,1,0,,23
000438,1,1,1,380,,20
000439,6,43,5,0,15,19
000440,1,1,1,14000,,17
000441,1,1,1,2500,,16
000442,1,1,1,0,15,19
000443,1,1,1,18000,,19
000444,9,68,17,,5,5
000445,9,68,17,,4,4
000446,9,68,17,,,
000447,9,68,17,48000,,20
000448,1,1,1,0,,12
000449,1,1,1,0,,22
000450,1,1,1,94000,,19
000451,1,1,1,10000,,21
000452,1,1,1,800,14,16
000453,1,1,1,,11,12
000454,1,1,1,,9,10
000455,1,1,1,0,,16
000456,1,1,1,7100,14,16
000457,1,1,1,0,,21
000458,1,1,1,0,,22
000459,1,1,1,5500,15,19
000460,1,1,1,32000,15,18
000461,1,1,1,32000,15,18
000462,1,1,1,25000,,21
000463,2,2,2,0,,18
000464,1,1,1,383000,,23
000465,1,1,1,7000,,21
000466,1,1,1,20000,,21
000467,1,1,1,30000,,15
000468,1,1,1,,,
000469,1,1,1,9200,,15
000470,1,1,1,0,,19
000471,1,1,1,0,,19
000472,1,1,1,4000,,21
000473,6,50,10,0,,11
000474,1,1,1,0,,16
000475,1,1,1,76000,,18
000476,1,1,1,28000,,20
000477,1,1,1,255000,,21
000478,1,1,1,90000,,24
000479,1,1,1,,3,3
000480,1,1,1,,1,1
000481,1,1,1,240,,21
000482,1,1,1,120000,,24
000483,1,1,1,82000,,22
000484,1,1,1,0,,16
000485,2,2,2,0,,16
000486,1,1,1,12700,,21
000487,1,1,1,0,,16
000488,6,49,8,9500,14,15
000489,1,1,1,167000,,21
000490,6,43,5,70000,,22
000491,6,43,5,0,,8
000492,1,1,1,40000,,17
000493,1,1,1,50000,,21
000494,1,1,1,50000,,16
000495,9,68,24,0,,21
000496,9,68,29,155000,,24
000497,9,68,24,,11,12
000498,9,68,24,,9,10
000499,9,68,24,,8,9
000500,9,68,24,,5,6
000501,9,68,24,0,,16
000502,9,68,29,0,,16
000503,1,1,1,48000,,21
000504,1,1,1,8400,,14
000505,1,1,1,0,,13
000506,1,1,1,99000,,21
000507,1,1,1,0,15,20
000508,1,1,1,35000,,13
000509,1,1,1,2000,,17
000510,1,1,1,0,,16
000511,1,1,1,85000,,21
000512,1,1,1,0,,22
000513,1,1,1,0,,21
000514,1,1,1,0,,18
000515,1,1,1,22000,,19
000516,1,1,1,25000,,17
000517,1,1,1,0,12,12
000518,1,1,1,,7,7
000519,1,1,1,,6,6
000520,2,2,2,28000,,19
000521,1,1,1,30000,,21
000522,1,1,1,45000,,20
000523,1,1,1,1000,14,15
000524,1,1,1,600,15,18
000525,1,1,1,185000,,21
000526,1,1,1,0,,21
000527,1,1,1,,8,8
000528,1,1,1,,5,5
000529,1,1,1,,2,2
000530,1,1,1,10000,,16
000531,1,1,1,3500,,16
000532,6,42,10,0,,1
000533,6,42,10,0,13,14
000534,6,42,10,21100,,1
000535,1,1,1,40000,,20
000536,1,1,1,0,14,14
000537,1,1,1,0,,19
000538,6,38,4,0,,21
000539,6,38,4,467000,,21
000540,1,1,1,50000,,16
000541,1,1,1,60000,,19
